bno,btitle,bcontent,bgroup,bstep,bindent,bhit,bdate,bfile,member_id
60,General Manager,17 Heath Center,60,0,0,0,2024-09-04,,aaa
61,Mechanical Systems Engineer,60 La Follette Alley,61,0,0,0,2024-03-18,,aaa
62,Human Resources Manager,3322 Holy Cross Drive,62,0,0,0,2024-02-04,,aaa
63,Associate Professor,80507 Becker Point,63,0,0,0,2024-04-18,,aaa
64,Actuary,9 Warner Alley,64,0,0,0,2024-04-18,,aaa
65,Assistant Professor,6278 Fremont Hill,65,0,0,0,2024-06-08,,aaa
66,Office Assistant I,7001 Vernon Drive,66,0,0,0,2024-07-06,,aaa
67,Quality Control Specialist,7 Miller Road,67,0,0,0,2024-10-24,,aaa
68,Executive Secretary,8 Jana Trail,68,0,0,0,2024-07-13,,aaa
69,Professor,4 South Circle,69,0,0,0,2024-10-07,,aaa
70,Project Manager,1 Merry Street,70,0,0,0,2024-06-11,,aaa
71,Administrative Assistant IV,58 Nobel Parkway,71,0,0,0,2024-07-21,,aaa
72,Nurse Practicioner,168 2nd Lane,72,0,0,0,2024-02-21,,aaa
73,Analog Circuit Design manager,3497 Dapin Junction,73,0,0,0,2024-08-11,,aaa
74,Professor,50109 Dunning Terrace,74,0,0,0,2024-10-10,,aaa
75,Editor,1 Old Shore Alley,75,0,0,0,2024-08-24,,aaa
76,Human Resources Manager,567 Green Hill,76,0,0,0,2024-09-28,,aaa
77,Account Representative III,1 Stone Corner Terrace,77,0,0,0,2024-06-19,,aaa
78,Payment Adjustment Coordinator,560 Laurel Circle,78,0,0,0,2024-03-08,,aaa
79,Automation Specialist III,91582 Mitchell Place,79,0,0,0,2024-10-30,,aaa
80,Teacher,446 Division Hill,80,0,0,0,2024-09-01,,aaa
81,Marketing Manager,74 Thierer Drive,81,0,0,0,2024-05-03,,aaa
82,Environmental Specialist,9 Sugar Parkway,82,0,0,0,2024-01-08,,aaa
83,Office Assistant II,6445 7th Place,83,0,0,0,2024-02-06,,aaa
84,Cost Accountant,39 Crownhardt Terrace,84,0,0,0,2024-09-08,,aaa
85,GIS Technical Architect,68 Fulton Lane,85,0,0,0,2024-10-28,,aaa
86,Senior Financial Analyst,554 Scott Way,86,0,0,0,2024-02-24,,aaa
87,Structural Engineer,2 Rutledge Court,87,0,0,0,2024-03-09,,aaa
88,Administrative Assistant I,02805 Maryland Hill,88,0,0,0,2024-01-12,,aaa
89,Compensation Analyst,14 Heffernan Lane,89,0,0,0,2024-10-10,,aaa
90,Social Worker,37395 Norway Maple Parkway,90,0,0,0,2024-03-30,,aaa
91,Environmental Tech,90 John Wall Trail,91,0,0,0,2024-02-09,,aaa
92,Account Coordinator,721 Vernon Terrace,92,0,0,0,2024-07-08,,aaa
93,Computer Systems Analyst I,37 Orin Drive,93,0,0,0,2024-07-18,,aaa
94,Senior Cost Accountant,78693 Vermont Avenue,94,0,0,0,2024-04-14,,aaa
95,Professor,9950 Montana Junction,95,0,0,0,2024-09-24,,aaa
96,Paralegal,0 Bayside Point,96,0,0,0,2024-06-17,,aaa
97,Developer II,474 Little Fleur Circle,97,0,0,0,2024-09-01,,aaa
98,Senior Cost Accountant,72901 Lunder Junction,98,0,0,0,2024-05-13,,aaa
99,Paralegal,522 Spaight Place,99,0,0,0,2024-04-19,,aaa
100,Financial Analyst,2 Messerschmidt Circle,100,0,0,0,2024-02-20,,aaa
